,AE - Top Tier,AE - Professional Pride,AE - Boomburbs,AE - Savvy Suburbanites,AE - Exurbanites,UA - Urban Chic,UA - Pleasantville,UA - Pacific Heights,UA - Enterprising Professionals,UI - Laptops and Lattes,UI - Metro REnters,UI - Trendsetters,FL - Soccer Moms,FL - Home Improvement,FL - Middleburg,GX - Comfortable Empty Nesters,GX - In Style,GX - Parks and Rec,GX - Rustbelt Traditions,GX - Midlife Constants,CCL - Green Acres,CCL - Salt of the Earth,CCL - The Great Outdoors,CCL - Prairie Living,CCL - Rural Resort Dwellers,CCL - Heartland Communities,EE - Up and Coming Families,EE - Urban Villages,EE - American Dreamers,EE - Barrios Urbanos,EE - Valley Growers,EE - Southwestern Families,MG - City Lights,MG - Emerald City,MG - Bright Young Professionals,MG - Downtown Melting Pot,MG - Front Porches,MG - Old and Newcomers,MG - Hardscrabble Road,SS - Silver & Gold,SS - Golden Years,SS - The Elders,SS - Senior Escapes,SS - Retirement Communities,SS - Social Security Set ,RO - Southern Satellites,RO - Rooted Rural,RO - Diners & Miners,RO - Down the Road,RO - Rural Bypasses,MS - City Strivers,MS - Young and Restless,MS - Metro Fusion,MS - Set to Impress,MS - City Commons,HT - Family Foundations,HT - Traditional Living,HT - Small Town Simplicity,HT - Modest Income Homes,NW - International Marketplace,NW - Las Casas,NW - NeWst Residents,NW - Fresh Ambitions,NW - High Rise Renters,SP - Military Proximity,SP - College Towns,SP - Dorms to Diplomas
470039502001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
470039502002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
470039502003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,480,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
470039503001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,886,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
470039503002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
470039504011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,749,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
470039504012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,552,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
470039504013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,768,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
470039504021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
470039504022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,670,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
