,households,name,latitude,longitude,geometry,GEOID
471570222201,236,HT - Modest Income Homes,35.06928,-90.0644305,POINT (-90.0644305 35.06928),4715792058
471570222202,176,HT - Modest Income Homes,35.0701826,-90.0784736,POINT (-90.0784736 35.0701826),4715792058
471570222203,232,HT - Modest Income Homes,35.0595063,-90.0875901,POINT (-90.0875901 35.0595063),4715792058
471570222204,515,HT - Modest Income Homes,35.0598723,-90.076352,POINT (-90.076352 35.0598723),4715792058
471570222205,345,HT - Modest Income Homes,35.0593212,-90.0650534,POINT (-90.0650534 35.0593212),4715792058
471570223101,185,MS - City Commons,35.0498815,-90.0656202,POINT (-90.0656202 35.0498815),4715792058
471570223102,494,HT - Modest Income Homes,35.0522631,-90.0770315,POINT (-90.0770315 35.0522631),4715792058
471570223103,542,HT - Modest Income Homes,35.0465427,-90.0806018,POINT (-90.0806018 35.0465427),4715792058
471570223104,301,HT - Family Foundations,35.0399267,-90.0761109,POINT (-90.0761109 35.0399267),4715792058
471570223105,461,HT - Modest Income Homes,35.0438434,-90.0908072,POINT (-90.0908072 35.0438434),4715792058
471570223211,250,HT - Family Foundations,35.0446276,-90.0491355,POINT (-90.04913550000001 35.0446276),4715792058
471570223212,537,HT - Modest Income Homes,35.0499763,-90.057705,POINT (-90.057705 35.0499763),4715792058
471570223213,708,HT - Family Foundations,35.0393878,-90.0605938,POINT (-90.06059380000001 35.0393878),4715792058
471570223221,552,HT - Family Foundations,35.0267028,-90.0441364,POINT (-90.0441364 35.0267028),4715792058
471570223222,389,HT - Family Foundations,35.0316825,-90.0510859,POINT (-90.0510859 35.0316825),4715792058
471570223223,341,HT - Family Foundations,35.0247338,-90.0527785,POINT (-90.0527785 35.0247338),4715792058
471570223224,306,HT - Family Foundations,35.0283856,-90.0630228,POINT (-90.0630228 35.0283856),4715792058
471570223301,464,HT - Family Foundations,35.0256053,-90.0789355,POINT (-90.0789355 35.0256053),4715792058
471570223302,631,HT - Modest Income Homes,35.0332437,-90.0879432,POINT (-90.0879432 35.0332437),4715792058
471570223303,575,HT - Family Foundations,35.0282347,-90.0897367,POINT (-90.0897367 35.0282347),4715792058
471570224101,305,HT - Family Foundations,35.0162805,-90.0714809,POINT (-90.0714809 35.0162805),4715792058
471570224102,317,HT - Family Foundations,35.0175392,-90.0820142,POINT (-90.0820142 35.0175392),4715792058
471570224103,436,HT - Family Foundations,35.0100189,-90.0757079,POINT (-90.0757079 35.0100189),4715792058
471570224104,712,HT - Family Foundations,35.00221,-90.0910359,POINT (-90.09103589999999 35.00221),4715792058
471570224105,475,HT - Family Foundations,35.0136197,-90.1074877,POINT (-90.10748769999999 35.0136197),4715792058
471570225001,599,RO - Down the Road,35.0661722,-90.0278168,POINT (-90.0278168 35.0661722),4715791678
471570225002,403,HT - Family Foundations,35.0502211,-90.0372983,POINT (-90.0372983 35.0502211),4715792058
471570225003,34,HT - Family Foundations,35.0477336,-90.0283419,POINT (-90.0283419 35.0477336),4715792058
471570225004,384,HT - Family Foundations,35.0398411,-90.0301171,POINT (-90.0301171 35.0398411),4715792058
471570225005,291,HT - Family Foundations,35.0401672,-90.0389067,POINT (-90.0389067 35.0401672),4715792058
471570226001,616,MS - Metro Fusion,35.0175733,-89.8995776,POINT (-89.8995776 35.0175733),4715792248
471570226002,766,HT - Traditional Living,35.0427886,-89.8936718,POINT (-89.89367180000001 35.0427886),4715792248
471570227001,257,HT - Family Foundations,35.0008534,-90.0497011,POINT (-90.04970109999999 35.0008534),4715792058
471570227002,303,HT - Modest Income Homes,35.0122253,-90.0413051,POINT (-90.0413051 35.0122253),4715792058
471570227003,642,HT - Modest Income Homes,35.0180926,-90.0497435,POINT (-90.04974350000001 35.0180926),4715792058
471570227004,508,HT - Family Foundations,35.0109785,-90.0509539,POINT (-90.0509539 35.0109785),4715792058
471570227005,820,HT - Modest Income Homes,35.0135861,-90.0620776,POINT (-90.06207759999999 35.0135861),4715792058
471579801001,0,,35.0533955,-89.9712441,POINT (-89.97124410000001 35.0533955),4715792248
471579802001,0,,35.1022809,-90.1320359,POINT (-90.13203590000001 35.1022809),4715792058
471579803001,0,,35.0295011,-90.1996237,POINT (-90.1996237 35.0295011),4715792058
471579804001,0,,35.1360475,-89.8330386,POINT (-89.83303859999999 35.1360475),4715790918
471599750001,563,RO - Southern Satellites,36.3442704,-86.0148042,POINT (-86.0148042 36.3442704),4715990350
471599750002,635,CCL - Salt of the Earth,36.3187009,-85.9112204,POINT (-85.9112204 36.3187009),4715990160
471599750003,379,RO - Southern Satellites,36.3848422,-85.8834228,POINT (-85.88342280000001 36.3848422),4715990160
471599751001,727,HT - Small Town Simplicity,36.2616677,-85.9393141,POINT (-85.9393141 36.2616677),4715991110
471599751002,465,CCL - Heartland Communities,36.2733858,-85.9821656,POINT (-85.9821656 36.2733858),4715990350
471599752001,664,RO - Southern Satellites,36.2267219,-86.0127433,POINT (-86.0127433 36.2267219),4715991300
471599752002,644,HT - Small Town Simplicity,36.2422946,-85.954768,POINT (-85.954768 36.2422946),4715991300
471599752003,887,RO - Southern Satellites,36.253022,-86.0858647,POINT (-86.0858647 36.253022),4715990730
471599753001,833,RO - Rooted Rural,36.2199992,-85.8605972,POINT (-85.8605972 36.2199992),4715991490
471599754001,804,RO - Southern Satellites,36.1449865,-85.8970726,POINT (-85.8970726 36.1449865),4715990920
471599754002,1099,CCL - Salt of the Earth,36.135021,-86.0088288,POINT (-86.0088288 36.135021),4715990540
471611102001,653,RO - Rooted Rural,36.6082327,-87.8476575,POINT (-87.8476575 36.6082327),4716190542
471611102002,567,RO - Southern Satellites,36.5332249,-87.8320925,POINT (-87.8320925 36.5332249),4716190732
471611102003,655,CCL - Salt of the Earth,36.5483116,-87.7559071,POINT (-87.7559071 36.5483116),4716190352
471611102004,612,RO - Southern Satellites,36.4804637,-87.669491,POINT (-87.66949099999999 36.4804637),4716190162
471611106001,694,RO - Rooted Rural,36.4066941,-87.7782229,POINT (-87.7782229 36.4066941),4716191302
471611106002,284,RO - Rooted Rural,36.3898727,-87.6545868,POINT (-87.6545868 36.3898727),4716191302
471611107001,870,CCL - Rural Resort Dwellers,36.4120085,-87.9183386,POINT (-87.9183386 36.4120085),4716190922
471611107002,454,HT - Small Town Simplicity,36.4837507,-87.8437637,POINT (-87.8437637 36.4837507),4716190732
